OBs-ID,x-coordinate,y-coordinate,ob-price,capacity
55, 114.3066361, 22.60150689, 457564.97861565975, 1
303, 114.0447841, 22.67738457, 280047.76864186354, 2
615, 113.8755798, 22.58870565, 361258.3105552206, 1
920, 114.146039, 22.55984134, 1091304, 0
413, 113.9152116, 22.75330155, 735328, -2
273, 113.7905001, 22.72072576, 212948.26903812293, 2
643, 114.2169694, 22.61605202, 878625, -4
858, 113.8552673, 22.79763444, 874665, -3
365, 114.0216399, 22.55492223, 750444, -1
778, 113.9139655, 22.48939267, 268682.04260130774, 1
563, 114.0709673, 22.52756307, 491864.68585500005, 1
634, 113.9784448, 22.5901607, 829270, -4
827, 114.1221481, 22.6011108, 1337661, -3
529, 114.2567155, 22.71858552, 162632.0060783277, 2
961, 113.9671992, 22.57073075, 773117.8753176783, 1
931, 113.9883071, 22.5473325, 1027106, -1
657, 114.102844, 22.60151047, 1302289, -1
502, 113.8553703, 22.78458004, 718410, -2
116, 114.1847659, 22.59345697, 431914.59389548376, 2
141, 114.0495329, 22.51773653, 1183336, 0
501, 114.0994988, 22.70120735, 931550, 0
320, 114.3983074, 22.73835999, 172208.54380916973, 1
583, 113.9489089, 22.56717642, 600536.6241822789, 1
94, 114.1082115, 22.57611145, 458505.2871901374, 1
232, 113.98464, 22.59929414, 1105671.8309934374, 2
534, 113.9109049, 22.73773833, 233972.35060509757, 2
58, 113.9205107, 22.61736685, 135052.42738300786, 2
783, 114.229344, 22.72458386, 427705.8307711828, 1
407, 114.3480704, 22.68461142, 982462, -2
694, 114.2008166, 22.65662947, 440884.1498130769, 1
871, 114.1217289, 22.54666103, 784740, -1
145, 113.9158069, 22.73178047, 258218.6249442379, 2
106, 114.0321467, 22.60364925, 614176, 0
607, 114.4813031, 22.57814012, 243214.62293407778, 2
637, 114.0041979, 22.73380776, 514526.95774268784, 2
242, 113.9175271, 22.72183077, 1210366, -4
189, 113.8341494, 22.62683087, 1333160, -3
138, 114.4003552, 22.6188088, 307254.69923713745, 1
23, 113.9185341, 22.74888894, 217966.25205691947, 1
815, 114.1793278, 22.63882801, 339952.20022002055, 1
816, 113.92475, 22.75002473, 460916.1050183351, 2
388, 113.9625456, 22.5629959, 1151776, 0
620, 114.0709098, 22.55199265, 599944.0858621876, 1
846, 114.3141642, 22.7751023, 1104830, -1
591, 114.0518927, 22.5357264, 818950, 0
804, 114.2146748, 22.70297441, 881500, -2
746, 114.0503917, 22.5948486, 928537.125, 1
785, 114.3541312, 22.75877108, 201541.29192837555, 1
280, 114.3890236, 22.75600408, 1367960, 0
210, 113.863564, 22.77118378, 557849.1936577901, 1
932, 113.9404505, 22.5808303, 346183.0440374034, 1
922, 113.922351, 22.5361136, 198825.03837067765, 2
826, 114.0297867, 22.52268154, 1129684, 0
80, 114.3492044, 22.70813761, 728156, 0
703, 114.0297176, 22.60251452, 413237.2456532938, 1
535, 113.9952455, 22.5333633, 191092.89153839738, 0
933, 113.889499, 22.78518445, 405792.44170141825, 1
716, 114.4245496, 22.6284636, 324712.2466865887, 1
358, 113.9044365, 22.56528958, 517978.12696781073, 1
659, 114.1008377, 22.70977353, 1390272, -1
79, 114.2132152, 22.74822005, 258016.2993084018, 1
261, 114.3424492, 22.69627422, 385506.79881008604, 1
796, 113.8403815, 22.61457115, 114008.59904975048, 2
772, 114.2190663, 22.62642335, 1125234, 0
70, 114.2790139, 22.73232303, 370432.8423163736, 1
158, 114.2125284, 22.72475814, 338184.8646225465, 1
663, 113.901536, 22.75932862, 257267.93656386185, 1
330, 114.3808979, 22.71648088, 457005, 0
752, 113.993609, 22.7445097, 494276.61092406773, 1
750, 113.8835278, 22.50407615, 447672.20110087376, 1
779, 113.8716275, 22.75540599, 1117620, -5
683, 113.9522202, 22.74086001, 1196028, -1
56, 114.03056, 22.72458829, 455387.53512295044, 1
177, 113.7645846, 22.67131472, 453097.52705060464, 1
202, 114.283724, 22.75135238, 123071.72085724093, 2
791, 114.2850418, 22.6886509, 619371.40386, 0
741, 113.9588159, 22.69329109, 212127.59183865154, 1
748, 114.0416775, 22.62253209, 125192.78112252509, 2
286, 114.0399778, 22.70672768, 157178.24972530158, 1
969, 113.9647448, 22.58175217, 374179.0021478986, 1
419, 113.9258442, 22.73630744, 159977.7789482628, 2
489, 114.2799684, 22.71391601, 1158780, -2
224, 114.0579046, 22.57556408, 1833731.46, -38
482, 113.7985327, 22.72284588, 1314686, 0
553, 114.2469077, 22.56876552, 1216146, -1
545, 114.3207512, 22.76124526, 357191.78822864743, 1
492, 114.359798, 22.74479107, 1356790, -2
51, 114.0320786, 22.56121934, 1074579, -2
140, 114.1029601, 22.55553361, 763525, -1
674, 114.3385519, 22.75543252, 266335.6821097368, 1
399, 114.1100798, 22.59688819, 601667.2960099999, 1
450, 113.9144593, 22.58669471, 999192, -1
628, 114.0104162, 22.63111842, 731712, -1
