HID,Long1,Lat1,Long2,Lat2,marriage,divorce,birth,death,work,education,immigration
603,114.0960048,22.62649671,114.0650394,22.5727667,0,0,0,0,0,1,0
922,113.8577667,22.58392266,114.100237,22.56271802,0,0,0,0,0,3,0
2224,114.0090737,22.63994719,114.0382715,22.5323228,0,0,0,0,0,5,0
1285,113.9496693,22.55122213,114.2976673,22.60643053,0,0,0,0,0,1,0
315,113.8678879,22.5713629,114.2172382,22.55800213,0,0,0,0,0,4,0
334,113.8803084,22.58326725,114.0986663,22.57202525,0,0,0,0,0,2,0
1180,113.8288835,22.685504,114.1738584,22.64970683,0,0,0,0,0,2,0
2490,113.9299459,22.74871131,114.2681153,22.73476386,0,0,0,0,0,4,0
1996,114.03878,22.60185337,114.1076893,22.61655363,0,0,0,0,0,2,0
2410,113.8593418,22.62832393,114.11215,22.61976315,0,0,0,0,0,2,0
605,113.8678879,22.5713629,114.1103715,22.57717689,0,0,0,0,0,2,0
715,113.8289193,22.71956443,114.1393443,22.55366287,0,0,0,0,0,4,0
2529,114.0090737,22.63994719,114.0388693,22.64516673,0,0,0,0,0,4,0
2571,113.8678879,22.5713629,114.1103715,22.57717689,0,0,0,0,0,2,0
2487,113.922354,22.52687612,114.300299,22.60271959,0,0,0,0,0,5,0
1306,113.8922297,22.54960966,114.0755723,22.65681014,0,0,0,0,0,1,0
1889,113.9040543,22.57707871,114.1951627,22.63917509,0,0,0,0,0,4,0
1496,113.9243591,22.73817724,114.1349087,22.54322937,0,0,0,0,0,3,0
721,113.8678879,22.5713629,113.9194252,22.55198723,0,0,0,0,0,4,0
515,113.8485196,22.57678478,113.9182477,22.54568435,0,0,0,0,0,4,0
2294,113.8591147,22.57989424,114.0620979,22.52117971,0,0,0,0,0,5,0
1127,114.0090737,22.63994719,114.1434636,22.54488498,0,0,0,0,0,3,0
2379,113.9040543,22.57707871,113.8885816,22.57839234,0,0,0,0,0,4,0
3357,113.8677722,22.56190042,113.8847797,22.57238172,0,0,0,0,0,3,0
3287,113.8746316,22.55197004,113.8678879,22.5713629,0,0,0,0,0,3,0
